Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,Battery,Timer,Rumble,Sensor,Licensee,Old Licensee Code,CGB Functionality,SGB Functionality,Mask ROM Ver,Region,Weird
Sanrio Carnival 2 (Japan).gb,SANRIO CARNIVAL2,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,APE,True,None,False,0,Japan,False
"Ken Griffey Jr. Presents Major League Baseball (USA, Europe) (SGB Enhanced).gb",KEN GRIFFEY JR,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,Nintendo R&D1,False,None,True,0,Non-Japan (0x1),False
Koro Dice (Japan).gb,KORODICE,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,King Records,True,None,False,0,Japan,False
Diva Starz - Mall Mania (USA).gbc,DIVA STARSBD8E,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'7D',7D)",False,CGB Only,False,0,Non-Japan (0x1),True
Donkey Kong Country (USA).gbc,DK COUNTRYBDDE,MBC5+RAM+Battery,MBC5,256,1,0x800,0x400000,True,False,False,False,Nintendo R&D1,False,CGB Only,False,0,Non-Japan (0x1),False
"Rugrats - Totally Angelica (USA, Europe).gbc",TOTALLYANGEBAGE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,THQ,False,CGB Only,False,0,Non-Japan (0x1),False
Daiku no Gen-san - Ghost Building Company (Japan).gb,GENSAN,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,IREM,True,None,False,0,Japan,False
Battle Star (World) (Aftermarket) (Homebrew).gbc,BATTLE STAR,MBC5+RAM+Battery,MBC5,32,4,0x4000,0x80000,True,False,False,False,none,False,CGB Only,False,1,Japan,False
Pac-Man (Europe).gb,PAC-MAN,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Namco,True,None,False,0,Non-Japan (0x1),False
"Tintin - Prisoners of the Sun (Europe) (En,Fr,De).gb",TINTIN TEMPLESUN,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Infogrames,False,None,False,0,Non-Japan (0x1),False
Midway Presents Arcade Hits - Moon Patrol & Spy Hunter (USA).gbc,SPYH-MOONPADUE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'5D',5D)",False,Extra CGB Functions,False,0,Non-Japan (0x1),True
