Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,CGB Functionality,SGB Functionality,Mask ROM Ver,Region
FIFA Road to World Cup 98 (Europe) (SGB Enhanced).gb,FIFA 98,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
"Asterix & Obelix (Europe) (Fr,De) (SGB Enhanced).gb",OBELIX,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Non-Japan (0x1)
Mystic Quest (France).gb,MYSTIC QUEST,MBC2+BATTERY,MBC2,16,1,0x100,0x40000,None,No,0,Non-Japan (0x1)
Cool Hand (Europe).gb,COOL HAND,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Montezuma's Return! (Europe) (En,Fr,De,Es,It).gb",MONTEZUMA,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Smurfs Travel the World, The (Europe) (En,Fr,De,Es).gb",SMURFS2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
B.C. Kid 2 (Europe) (SGB Enhanced).gb,B.C.KID2,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Non-Japan (0x1)
Pocket Bomberman (Europe) (SGB Enhanced).gb,POKEBOM,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
"King of Fighters '95, The (Europe) (SGB Enhanced).gb",NETTOU KOF 95,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
Arcade Classic No. 3 - Galaga & Galaxian (Europe) (SGB Enhanced).gb,GALAGA&GALAXIAN,MBC1,MBC1,8,0,0x0,0x20000,None,Yes,0,Non-Japan (0x1)
Power Racer (Europe).gb,POWER RACER,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Beethoven (Europe) (SGB Enhanced).gb,BEETHOVEN,MBC1,MBC1,8,0,0x0,0x20000,None,Yes,0,Non-Japan (0x1)
Hugo (Europe) (SGB Enhanced).gb,HUGO,MBC1,MBC1,8,0,0x0,0x20000,None,Yes,0,Non-Japan (0x1)
Pokemon - Rote Edition (Germany) (SGB Enhanced).gb,POKEMON RED,MBC5+RAM+BATTERY,MBC5,64,4,0x4000,0x100000,None,Yes,0,Non-Japan (0x1)
Game & Watch Gallery (Europe) (SGB Enhanced).gb,G&W GALLERY,MBC1+RAM+BATTERY,MBC1,16,1,0x800,0x40000,None,Yes,0,Non-Japan (0x1)
Nigel Mansell's World Championship (Europe).gb,NIGEL MANSELL,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Franky, Joe & Dirk... On the Tiles (Europe) (En,Fr,De,Es,It,Nl).gb",ON THE TILES,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Ms. Pac-Man (Europe).gb,MS.PAC-MAN,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Splitz (Europe).gb,SPLITZ,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Hammerin' Harry - Ghost Building Company (Europe).gb,GENSAN,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
R-Type II (Europe).gb,RTYPE 2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
DuckTales 2 (Europe).gb,DUCK TALES 2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Daffy Duck (Europe).gb,DAFFY DUCK,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Winter Gold (Europe).gb,WINTER GOLD,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Sea Battle (Europe) (En,Fr,De,Es).gb",SEA BATTLE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Aladdin (Europe) (SGB Enhanced).gb,ALADDIN,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Non-Japan (0x1)
Mega Man II (Europe).gb,MEGA MAN 2,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
DuckTales (Europe).gb,DUCK TALES,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Blaster Master Jr. (Europe).gb,BLASTER MASTER J,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
McDonaldland (Europe).gb,MCDONALDLAND,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Animaniacs (Europe) (SGB Enhanced).gb,ANIMANIACS,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Non-Japan (0x1)
Choplifter III (Europe).gb,CHOPLIFTER III,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Lemmings (Europe).gb,LEMMINGS,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Dr. Franken (Europe) (En,Fr,De,Es,It,Nl,Sv).gb",DR FRANKEN,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Spy vs Spy - Operation Boobytrap (Europe).gb,SPY VS SPY,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Schiffe Versenken (Germany) (En,Fr,De,Es).gb",SCHIFFE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
B.C. Kid (Europe).gb,B.C.KID         ,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Rodland (Europe).gb,RODLAND,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Top Ranking Tennis (Europe).gb,TOPRANKINGTENNIS,MBC2+BATTERY,MBC2,16,1,0x100,0x40000,None,No,0,Non-Japan (0x1)
"Monster Max (Europe) (En,Fr,De,Es,It,Nl).gb",MONSTER MAX,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"King of Fighters, The - Heat of Battle (Europe) (SGB Enhanced).gb",KOF HEATOFBATTLE,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
Bubsy II (Europe).gb,BUBSY II,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Goal! (Europe).gb,GOAL!,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Othello (Europe).gb,OTHELLO,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
Battletoads-Double Dragon (Europe).gb,B_TOADS/D_DRAGON,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"V-Rally - Championship Edition (Europe) (En,Fr,De).gb",VRALLY,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Water World (Europe).gb,WATER WORLD,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Lucle (Japan, Europe).gb",LUCLE,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,No,0,Japan
Popeye 2 (Europe).gb,POPEYE 2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Bionic Commando (Europe).gb,BIONIC-COMMANDO,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Lemmings 2 - The Tribes (Europe).gb,LEMMINGS 2,MBC1,MBC1,32,0,0x0,0x80000,None,No,0,Non-Japan (0x1)
Bust-A-Move 3 DX (Europe).gb,BUST A MOVE 3,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Football International (Europe).gb,FOOTBALL INT'L,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Litti's Summer Sports (Germany).gb,TRACK MEET,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Jelly Boy (Europe).gb,JELLY BOY,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Lion King, The (Europe).gb",THE LION KING,MBC1,MBC1,32,0,0x0,0x80000,None,No,0,Non-Japan (0x1)
"Monde Perdu, Le - Jurassic Park (France) (SGB Enhanced).gb",LOST WORLD,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
Micro Machines 2 - Turbo Tournament (Europe).gb,MICRO MACHINES 2,MBC1,MBC1,32,0,0x0,0x80000,None,No,0,Non-Japan (0x1)
"Sword of Hope, The (Germany).gb",THE SWORD OFHOPE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Dennis (Europe).gb,DENNIS,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Pac-In-Time (Europe) (SGB Enhanced).gb,PAC-IN-TIME,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Non-Japan (0x1)
Game Boy Gallery - 5 Games in One (Europe) (SGB Enhanced).gb,GAME&WATCH,MBC1,MBC1,8,0,0x0,0x20000,None,Yes,0,Non-Japan (0x1)
Baby T-Rex (Europe).gb,BABY TREX,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Cool Spot (Europe).gb,COOL SPOT,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Taz-Mania (Europe).gb,TAZMANIA,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Pinball Deluxe (Europe).gb,PINBALL DELUXE,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Spanky's Quest (Europe).gb,SPANKY'S QUEST,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Mario & Yoshi (Europe).gb,MARIO & YOSHI,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Populous (Europe).gb,POPULOUS,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Skate or Die - Bad 'N Rad (Europe).gb,SKATE OR DIE BAD,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Legend of Zelda, The - Link's Awakening (France).gb",ZELDA,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,No,0,Non-Japan (0x1)
Bamse (Sweden).gb,BAMSE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Teenage Mutant Hero Turtles II - Back from the Sewers (Europe).gb,TMHT BACK FROM S,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
TaleSpin (Europe).gb,TALE SPIN,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
