Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,CGB Functionality,SGB Functionality,Mask ROM Ver,Region
Kakomunja (Japan).gb,DMG-KMJ,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
DuckTales 2 (Japan).gb,DUCK TALES 2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Goukaku Boy Series - Koukou Nyuushi Derujun - Kanji Mondai no Seifuku (Japan).gb,TYUUGAKUKANJI GB,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Famista 3 (Japan).gb,FAMISTA3,MBC1+RAM+BATTERY,MBC1,16,1,0x800,0x40000,None,No,0,Japan
Akumajou Dracula - Shikkoku Taru Zensoukyoku - Dark Night Prelude (Japan) (SGB Enhanced).gb,DRACULA3,MBC1+RAM+BATTERY,MBC1,16,1,0x800,0x40000,None,Yes,0,Japan
Foreman for Real (Japan).gb,FOREMAN FOR REAL,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Goukaku Boy GOLD - Shikakui Atama o Maruku Suru - Nanmon no Sho (Japan).gb,SIKAKUNANMNBD4J,MBC5+RAM+BATTERY,MBC5,64,1,0x800,0x100000,None,No,0,Japan
Kitchen Panic (Japan).gb,KITCHIN PANIC,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
"Fidgetts, The (Japan).gb",THE FIDGETTS,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Momotarou Dentetsu jr. - Zenkoku Ramen Meguri no Maki (Japan) (SGB Enhanced).gb,MOMOTETSU JR.,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Japan
Othello (Japan).gb,OTHELLO,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
Hoshi no Kirby 2 (Japan) (SGB Enhanced).gb,KIRBY2,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Japan
Totsugeki Valations (Japan).gb,VALATIONS,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
RoboCop 2 (Japan).gb,ROBOCOP2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Bakenou TV '94 (Japan) (SGB Enhanced).gb,BAKENOH TV,MBC1+RAM+BATTERY,MBC1,8,1,0x800,0x20000,None,Yes,0,Japan
Pocket Stadium (Japan).gb,POCKET STADIUM,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
